0.463227	0.607415	1	1	0.463227	0.607415	0.6	0.6	2.19994	0
0.741391	0.556327	3.938	-0.85596	0.732611	0.520449	0.709997	0.600019	2.19975	0.000760158
0.975104	0.418354	5.31453	-1.93497	0.968521	0.40545	0.819984	0.600095	2.19943	0.00228003
1.01366	0.702454	2.24983	0.770693	0.74607	0.522039	0.929956	0.600266	2.19899	0.00455878
1.06646	0.725093	2.09092	0.934587	0.947752	0.636824	1.0399	0.60057	2.19841	0.00759519
1.28094	0.697406	2.39214	0.193167	1.28523	0.652949	1.14982	0.601045	2.1977	0.0113877
1.3903	0.663541	2.414	0.0113524	1.42287	0.264328	1.25971	0.601728	2.19686	0.0159342
1.43925	0.744828	2.1065	0.455313	1.3457	0.767869	1.36955	0.602657	2.19587	0.0212325
1.54304	0.75609	2.11249	0.406764	1.55228	0.653503	1.47934	0.60387	2.19474	0.0272796
1.64828	0.776409	2.15322	0.427392	1.52264	0.716923	1.58908	0.605405	2.19345	0.0340725
1.74992	0.763036	2.171	0.288844	1.76437	0.481646	1.69875	0.607297	2.19201	0.0416075
1.93968	0.673904	2.57693	-0.1557	2.09781	0.582232	1.80834	0.609585	2.1904	0.0498806
2.06395	0.661203	2.57161	-0.170803	2.04483	0.628829	1.91786	0.612305	2.18863	0.0588874
2.15352	0.739616	2.27025	0.161259	2.33038	0.92486	2.02728	0.615494	2.18667	0.0686229
2.25452	0.717145	2.26407	0.0490255	2.20692	0.520594	2.13661	0.619189	2.18452	0.079082
2.33061	0.63249	1.89876	-0.370622	2.20382	0.508862	2.24582	0.623424	2.18218	0.0902589
2.41253	0.605493	1.87799	-0.39368	2.3478	0.558867	2.35492	0.628237	2.17963	0.102147
2.50132	0.624504	1.97886	-0.209875	2.14769	0.583399	2.46389	0.633662	2.17686	0.11474
2.59251	0.585414	1.97569	-0.315755	2.55749	0.425369	2.57271	0.639735	2.17386	0.128031
2.7425	0.647207	2.41617	0.0314688	2.89005	0.79272	2.68138	0.646489	2.17062	0.142012
2.88008	0.659356	2.44418	0.0624667	2.9662	0.713622	2.78989	0.653961	2.16713	0.156675
2.9744	0.682133	2.26201	0.122221	2.87656	0.698973	2.89821	0.662183	2.16337	0.172011
3.06736	0.675274	2.22858	0.0840634	2.96255	0.61317	3.00635	0.67119	2.15934	0.188011
3.16556	0.720958	2.15634	0.233151	3.16048	0.793306	3.11428	0.681013	2.15501	0.204665
3.26247	0.760471	2.12653	0.338693	3.20975	0.880424	3.22199	0.691687	2.15038	0.221964
3.40034	0.820285	2.263	0.497576	3.93	1.02122	3.32946	0.703242	2.14543	0.239895
3.51225	0.803802	2.2756	0.352749	3.49701	0.634952	3.43667	0.71571	2.14014	0.258449
3.64412	0.730634	2.34544	0.0332575	3.62153	0.545148	3.54362	0.729122	2.13451	0.277612
3.76238	0.705208	2.35687	-0.0601682	3.75974	0.602488	3.65028	0.743508	2.12852	0.297373
3.87824	0.730419	2.48186	0.061102	3.48239	0.714232	3.75663	0.758898	2.12214	0.317718
3.98525	0.755383	2.44427	0.141148	3.90394	0.828314	3.86265	0.77532	2.11537	0.338634
4.08935	0.717018	2.0651	-0.0718129	4.73232	0.717394	3.96833	0.792804	2.1082	0.360106
